Date, Open, High, Low, Close
03/29/12, 6.3044, 6.3044, 6.3003, 6.3003
03/28/12, 6.3082, 6.3082, 6.3044, 6.3044
03/27/12, 6.3096, 6.3096, 6.3082, 6.3082
03/26/12, 6.3008, 6.3096, 6.3008, 6.3096
03/23/12, 6.3024, 6.3024, 6.3008, 6.3008
03/22/12, 6.3189, 6.3189, 6.3024, 6.3024
03/21/12, 6.3172, 6.3189, 6.3172, 6.3189
03/20/12, 6.3218, 6.3218, 6.3172, 6.3172
03/19/12, 6.3223, 6.3223, 6.3218, 6.3218
03/16/12, 6.3312, 6.3312, 6.3223, 6.3223
03/15/12, 6.3351, 6.3351, 6.3312, 6.3312
03/14/12, 6.3283, 6.3351, 6.3283, 6.3351
03/13/12, 6.3278, 6.3283, 6.3278, 6.3283
03/12/12, 6.3104, 6.3278, 6.3104, 6.3278
03/09/12, 6.3182, 6.3182, 6.3104, 6.3104
03/08/12, 6.3150, 6.3182, 6.3150, 6.3182
03/07/12, 6.3160, 6.3160, 6.3150, 6.3150
03/06/12, 6.3097, 6.3160, 6.3097, 6.3160
03/05/12, 6.2984, 6.3097, 6.2984, 6.3097
03/02/12, 6.2999, 6.2999, 6.2984, 6.2984
03/01/12, 6.2959, 6.2999, 6.2959, 6.2999
02/29/12, 6.2997, 6.2997, 6.2959, 6.2959
02/28/12, 6.3017, 6.3017, 6.2997, 6.2997
02/27/12, 6.2977, 6.3017, 6.2977, 6.3017
02/24/12, 6.2996, 6.2996, 6.2977, 6.2977
02/23/12, 6.2971, 6.2996, 6.2971, 6.2996
02/22/12, 6.2974, 6.2974, 6.2971, 6.2971
02/21/12, 6.2978, 6.2978, 6.2974, 6.2974
02/20/12, 6.2995, 6.2995, 6.2978, 6.2978
02/17/12, 6.3000, 6.3000, 6.2995, 6.2995
02/16/12, 6.2971, 6.3000, 6.2971, 6.3000
02/15/12, 6.2982, 6.2982, 6.2971, 6.2971
02/14/12, 6.2956, 6.2982, 6.2956, 6.2982
02/13/12, 6.2943, 6.2956, 6.2943, 6.2956
02/10/12, 6.3008, 6.3008, 6.2943, 6.2943
02/09/12, 6.3000, 6.3008, 6.3000, 6.3008
02/08/12, 6.3100, 6.3100, 6.3000, 6.3000
02/07/12, 6.3113, 6.3113, 6.3100, 6.3100
02/06/12, 6.3063, 6.3113, 6.3063, 6.3113
02/03/12, 6.3056, 6.3063, 6.3056, 6.3063
02/02/12, 6.3063, 6.3063, 6.3056, 6.3056
02/01/12, 6.3087, 6.3087, 6.3063, 6.3063
01/31/12, 6.3145, 6.3145, 6.3087, 6.3087
01/30/12, 6.3380, 6.3380, 6.3145, 6.3145
01/27/12, 6.3380, 6.3380, 6.3380, 6.3380
01/26/12, 6.3380, 6.3380, 6.3380, 6.3380
01/25/12, 6.3153, 6.3380, 6.3153, 6.3380
01/24/12, 6.3155, 6.3155, 6.3153, 6.3153
01/23/12, 6.3173, 6.3173, 6.3155, 6.3155
01/20/12, 6.3155, 6.3173, 6.3155, 6.3173
01/19/12, 6.3162, 6.3162, 6.3155, 6.3155
01/18/12, 6.3185, 6.3185, 6.3162, 6.3162
01/17/12, 6.3130, 6.3185, 6.3130, 6.3185
01/16/12, 6.3192, 6.3192, 6.3130, 6.3130
01/13/12, 6.3185, 6.3192, 6.3185, 6.3192
01/12/12, 6.3166, 6.3185, 6.3166, 6.3185
01/11/12, 6.3131, 6.3166, 6.3131, 6.3166
01/10/12, 6.3163, 6.3163, 6.3131, 6.3131
01/09/12, 6.3135, 6.3163, 6.3135, 6.3163
01/06/12, 6.3122, 6.3135, 6.3122, 6.3135
01/05/12, 6.2993, 6.3122, 6.2993, 6.3122
01/04/12, 6.2990, 6.2993, 6.2990, 6.2993
01/03/12, 6.2992, 6.2992, 6.2990, 6.2990
01/02/12, 6.2992, 6.2992, 6.2992, 6.2992
12/30/11, 6.3146, 6.3146, 6.2992, 6.2992
12/29/11, 6.3161, 6.3161, 6.3146, 6.3146
12/28/11, 6.3260, 6.3260, 6.3161, 6.3161
12/27/11, 6.3238, 6.3260, 6.3238, 6.3260
12/26/11, 6.3415, 6.3415, 6.3238, 6.3238
12/23/11, 6.3442, 6.3442, 6.3415, 6.3415
